Symptom,Model,Balanced_Accuracy,ROC_AUC,F1_Score,Accuracy,Symptom_Name
physSx_6,VotingEnsemble,0.587,0.681,0.402,,Dizziness
physSx_6,StackingEnsemble,0.558,0.692,0.266,,Dizziness
physSx_7,XGBoost-Optimized,0.52,0.607,0.082,,Fainting spells
physSx_7,LightGBM,0.497,0.591,0,,Fainting spells
physSx_7,CatBoost,0.498,0.584,0,,Fainting spells
physSx_7,RandomForest,0.511,0.649,0.043,,Fainting spells
physSx_7,ExtraTrees,0.521,0.632,0.083,,Fainting spells
physSx_7,TabNet-Deep,0.582,0.517,0.185,,Fainting spells
physSx_7,VotingEnsemble,0.511,0.638,0.043,,Fainting spells
physSx_7,StackingEnsemble,0.5,0.654,0,,Fainting spells
physSx_8,XGBoost-Optimized,0.605,0.638,0.581,,Heart pound/race
physSx_8,LightGBM,0.583,0.625,0.543,,Heart pound/race
physSx_8,CatBoost,0.571,0.62,0.533,,Heart pound/race
physSx_8,RandomForest,0.582,0.636,0.55,,Heart pound/race
physSx_8,ExtraTrees,0.622,0.657,0.602,,Heart pound/race
physSx_8,TabNet-Deep,0.625,0.644,0.595,,Heart pound/race
physSx_8,VotingEnsemble,0.591,0.634,0.552,,Heart pound/race
physSx_8,StackingEnsemble,0.608,0.654,0.558,,Heart pound/race
physSx_9,XGBoost-Optimized,0.615,0.672,0.46,,Shortness of breath
physSx_9,LightGBM,0.595,0.644,0.43,,Shortness of breath
physSx_9,CatBoost,0.607,0.654,0.446,,Shortness of breath
physSx_9,RandomForest,0.612,0.671,0.453,,Shortness of breath
physSx_9,ExtraTrees,0.617,0.689,0.479,,Shortness of breath
physSx_9,TabNet-Deep,0.599,0.654,0.422,,Shortness of breath
physSx_9,VotingEnsemble,0.604,0.666,0.438,,Shortness of breath
physSx_9,StackingEnsemble,0.582,0.684,0.352,,Shortness of breath
physSx_10,XGBoost-Optimized,0.548,0.58,0.364,,Constipation
physSx_10,LightGBM,0.541,0.565,0.347,,Constipation
physSx_10,CatBoost,0.539,0.584,0.334,,Constipation
physSx_10,RandomForest,0.566,0.588,0.37,,Constipation
physSx_10,ExtraTrees,0.566,0.613,0.43,,Constipation
physSx_10,TabNet-Deep,0.55,0.589,0.273,,Constipation
physSx_10,VotingEnsemble,0.549,0.583,0.351,,Constipation
physSx_10,StackingEnsemble,0.516,0.578,0.146,,Constipation
physSx_11,XGBoost-Optimized,0.588,0.647,0.583,,Nausea/gas/indigestion
physSx_11,LightGBM,0.579,0.605,0.562,,Nausea/gas/indigestion
physSx_11,CatBoost,0.591,0.636,0.577,,Nausea/gas/indigestion
physSx_11,RandomForest,0.593,0.642,0.59,,Nausea/gas/indigestion
physSx_11,ExtraTrees,0.616,0.644,0.614,,Nausea/gas/indigestion
physSx_11,TabNet-Deep,0.62,0.629,0.652,,Nausea/gas/indigestion
physSx_11,VotingEnsemble,0.599,0.636,0.59,,Nausea/gas/indigestion
physSx_11,StackingEnsemble,0.596,0.639,0.579,,Nausea/gas/indigestion
physSx_12,XGBoost-Optimized,0.602,0.725,0.907,,Fatigue
physSx_12,LightGBM,0.562,0.733,0.923,,Fatigue
physSx_12,CatBoost,0.551,0.764,0.929,,Fatigue
physSx_12,RandomForest,0.547,0.781,0.93,,Fatigue
physSx_12,ExtraTrees,0.618,0.764,0.918,,Fatigue
physSx_12,TabNet-Deep,0.593,0.691,0.921,,Fatigue
physSx_12,VotingEnsemble,0.571,0.761,0.926,,Fatigue
physSx_12,StackingEnsemble,0.535,0.765,0.934,,Fatigue
physSx_13,XGBoost-Optimized,0.606,0.663,0.73,,Trouble sleeping
physSx_13,LightGBM,0.605,0.668,0.788,,Trouble sleeping
physSx_13,CatBoost,0.598,0.669,0.78,,Trouble sleeping
physSx_13,RandomForest,0.619,0.69,0.792,,Trouble sleeping
physSx_13,ExtraTrees,0.615,0.686,0.764,,Trouble sleeping
physSx_13,TabNet-Deep,0.611,0.676,0.813,,Trouble sleeping
physSx_13,VotingEnsemble,0.612,0.678,0.786,,Trouble sleeping
physSx_13,StackingEnsemble,0.588,0.679,0.817,,Trouble sleeping
