Symptom_Code,Symptom_Name,Model,ROC_AUC,F1_Score,Predictor,Mean_Abs_SHAP
physSx_5,Chest pain,LR-L1,0.651,0.398,Mindfulness,0.8687318239203492
physSx_5,Chest pain,LR-L1,0.651,0.398,Social Media - Making New Connections,1.1566138393657945
physSx_5,Chest pain,LR-L1,0.651,0.398,Need to Belong,1.1575050861300187
physSx_5,Chest pain,LR-L1,0.651,0.398,Social Media - Maintaining Connections,1.4300393706297334
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Sex,0.23869485183096373
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Income,0.2425725523442787
physSx_6,Dizziness,ExtraTrees,0.703,0.5,efficacy_belong_interaction,0.2535165611593889
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Interpersonal Transgressions,0.2606996440335265
physSx_6,Dizziness,ExtraTrees,0.703,0.5,stress_amplification,0.2799855562564716
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Perceived Social Support,0.3507107467931587
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Perceived Stress,0.40274591179354263
physSx_6,Dizziness,ExtraTrees,0.703,0.5,stress_support_interaction,0.4272413045046681
physSx_6,Dizziness,ExtraTrees,0.703,0.5,achievement_gap_squared,0.42932283763487855
physSx_6,Dizziness,ExtraTrees,0.703,0.5,perfectionism_stress,0.4449562672001203
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Efficacy/Competence,0.6011700483074309
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Social Media - Making New Connections,0.601175595841715
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Need to Belong,0.6670221430074281
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Subjective Well-Being,0.9929293982202292
physSx_6,Dizziness,ExtraTrees,0.703,0.5,Interpersonal Exploitativeness,1.9683474068663984
physSx_7,Fainting spells,LR-L1,0.661,0.195,Markers of Adulthood - Importance,0.523433403026689
physSx_7,Fainting spells,LR-L1,0.661,0.195,stress_support_interaction,0.6205557629350187
physSx_7,Fainting spells,LR-L1,0.661,0.195,Perceived Stress,0.6379681456500004
physSx_7,Fainting spells,LR-L1,0.661,0.195,Markers of Adulthood - Achievement,0.7334863737414629
physSx_7,Fainting spells,LR-L1,0.661,0.195,Disability Identity & Status,0.8264707790114006
physSx_7,Fainting spells,LR-L1,0.661,0.195,Mindfulness,1.0103394576472864
physSx_7,Fainting spells,LR-L1,0.661,0.195,Social Media - Maintaining Connections,1.0629054964701756
physSx_7,Fainting spells,LR-L1,0.661,0.195,Perceived Social Support,1.0760102857322602
physSx_7,Fainting spells,LR-L1,0.661,0.195,Sex,1.139803056915692
physSx_7,Fainting spells,LR-L1,0.661,0.195,Efficacy/Competence,1.1594583699594252
physSx_7,Fainting spells,LR-L1,0.661,0.195,Interpersonal Exploitativeness,1.1685896901339587
physSx_7,Fainting spells,LR-L1,0.661,0.195,Need to Belong,1.532087669529848
physSx_7,Fainting spells,LR-L1,0.661,0.195,Social Media - Making New Connections,1.8152015078871617
physSx_7,Fainting spells,LR-L1,0.661,0.195,Subjective Well-Being,1.8343690897612237
physSx_7,Fainting spells,LR-L1,0.661,0.195,Interpersonal Transgressions,2.541301815750992
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,efficacy_belong_interaction,0.18741648548142328
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Markers of Adulthood - Achievement,0.20403012228505757
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Subjective Well-Being,0.21448567848632932
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Disability Identity & Status,0.21725947197893364
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Sex,0.2374241083479811
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Markers of Adulthood - Importance,0.25394325150850067
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,achievement_gap,0.26724460197785815
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Social Media - Making New Connections,0.28440245158092325
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Perceived Social Support,0.3342986777383547
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Interpersonal Transgressions,0.38276608326085004
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,achievement_stress_interaction,0.4343368566799198
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Identity Exploration (IDEA-8),0.46793915104230904
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Perceived Stress,0.6995250423908751
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Need to Belong,0.7242934458666203
physSx_8,Heart pound/race,ExtraTrees,0.657,0.602,Mindfulness,1.0082508145956857
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Perceived Stress,0.18078074865101618
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Education,0.20026313900548495
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Markers of Adulthood - Importance,0.2126116880679321
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Sex,0.22672619344849948
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,efficacy_belong_interaction,0.2450183395325066
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Interpersonal Transgressions,0.2530261083720439
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Need to Belong,0.2691837513321121
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Markers of Adulthood - Achievement,0.3003217190409532
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Efficacy/Competence,0.35338986478014034
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,health_anxiety_proxy,0.36529106370422865
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Social Media - Maintaining Connections,0.3772531801312095
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Disability Identity & Status,0.39715227351784377
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Social Media - Making New Connections,0.598752829324139
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Perceived Social Support,0.6680796769580899
physSx_9,Shortness of breath,ExtraTrees,0.689,0.479,Mindfulness,0.7574776959473779
physSx_10,Constipation,ExtraTrees,0.613,0.43,Social Media - Maintaining Connections,0.19386196238746312
physSx_10,Constipation,ExtraTrees,0.613,0.43,Sex,0.2298428135153677
physSx_10,Constipation,ExtraTrees,0.613,0.43,stress_support_ratio,0.2738830028626129
physSx_10,Constipation,ExtraTrees,0.613,0.43,Disability Identity & Status,0.2782725777646402
physSx_10,Constipation,ExtraTrees,0.613,0.43,efficacy_belong_interaction,0.297833366798315
physSx_10,Constipation,ExtraTrees,0.613,0.43,stress_support_interaction,0.34550319540404634
physSx_10,Constipation,ExtraTrees,0.613,0.43,perfectionism_stress,0.3593226387235955
physSx_10,Constipation,ExtraTrees,0.613,0.43,achievement_gap_squared,0.3642766878223441
physSx_10,Constipation,ExtraTrees,0.613,0.43,Mindfulness,0.3702403393198206
physSx_10,Constipation,ExtraTrees,0.613,0.43,Perceived Social Support,0.41645892906301557
physSx_10,Constipation,ExtraTrees,0.613,0.43,Identity Exploration (IDEA-8),0.5157540404968501
physSx_10,Constipation,ExtraTrees,0.613,0.43,Efficacy/Competence,0.5805710090505674
physSx_10,Constipation,ExtraTrees,0.613,0.43,Perceived Stress,0.7642718520057561
physSx_10,Constipation,ExtraTrees,0.613,0.43,Need to Belong,0.9221304794127341
physSx_10,Constipation,ExtraTrees,0.613,0.43,Subjective Well-Being,0.9279615608843698
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Income,0.21293244912944023
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,efficacy_belong_interaction,0.23461273056741921
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,achievement_gap,0.2605976297435577
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Mindfulness,0.29765717683027576
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Perceived Social Support,0.32137258214589914
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,stress_support_interaction,0.3256495223458576
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Subjective Well-Being,0.3815244097653528
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Efficacy/Competence,0.3844886218981756
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Identity Exploration (IDEA-8),0.5270853461440373
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Social Media - Maintaining Connections,0.6061687018990339
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Perceived Stress,0.6079658100454063
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Disability Identity & Status,0.6089717480247192
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Social Media - Making New Connections,0.9187243127230995
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Interpersonal Exploitativeness,0.9477548889055081
physSx_11,Nausea/gas/indigestion,LR-L1,0.649,0.597,Need to Belong,1.4014925927882014
physSx_12,Fatigue,RandomForest,0.781,0.93,Identity Exploration (IDEA-8),0.0050464094035208695
physSx_12,Fatigue,RandomForest,0.781,0.93,stress_amplification,0.005597911675365567
physSx_12,Fatigue,RandomForest,0.781,0.93,American Dream,0.005743402421856662
physSx_12,Fatigue,RandomForest,0.781,0.93,Interpersonal Exploitativeness,0.0059374647445329205
physSx_12,Fatigue,RandomForest,0.781,0.93,health_anxiety_proxy,0.006055837571175989
physSx_12,Fatigue,RandomForest,0.781,0.93,overall_std,0.006108721675986346
physSx_12,Fatigue,RandomForest,0.781,0.93,Efficacy/Competence,0.008830275297464317
physSx_12,Fatigue,RandomForest,0.781,0.93,Perceived Social Support,0.009872079242698726
physSx_12,Fatigue,RandomForest,0.781,0.93,Interpersonal Transgressions,0.009918212590093942
physSx_12,Fatigue,RandomForest,0.781,0.93,Perceived Stress,0.014606256585383247
physSx_12,Fatigue,RandomForest,0.781,0.93,Disability Identity & Status,0.01721154248421701
physSx_12,Fatigue,RandomForest,0.781,0.93,Need to Belong,0.01802860001531892
physSx_12,Fatigue,RandomForest,0.781,0.93,Subjective Well-Being,0.02485194401903247
physSx_12,Fatigue,RandomForest,0.781,0.93,Mindfulness,0.02621975564014293
physSx_12,Fatigue,RandomForest,0.781,0.93,Sex,0.03356564572993455
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Markers of Adulthood - Importance,0.1837473843084237
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Identity Exploration (IDEA-8),0.18489356548408153
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Perceived Stress,0.18508223250498237
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Interpersonal Transgressions,0.18868725445199655
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Sex,0.23541881096674752
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,stress_support_interaction,0.2577518736839886
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Social Media - Making New Connections,0.2734201067885489
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Income,0.27746529966760963
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Social Media - Maintaining Connections,0.39303092806670215
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Interpersonal Exploitativeness,0.5228162384906694
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Subjective Well-Being,0.6513037827387067
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Disability Identity & Status,0.7119086826690731
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Perceived Social Support,0.7257185718260903
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Need to Belong,0.7670493059893282
physSx_13,Trouble sleeping,LR-L1,0.694,0.698,Efficacy/Competence,1.0747343090661474
